Fecha,Hora,Temp Ext (°C),Temp Máx,Temp Mín,Humedad Ext (%),Punto Rocío,Vel Vent,Dir Vent,Wind Run,Ráfaga Vent,Dir Ráfaga,Sens Term Wind,Índice Calor,THW Index,Presión (hPa),Lluvia (mm),Int Lluvia,Heat D-D,Cool D-D,Temp Int,Humedad Int,Punto Rocío Int,Heat Int,EMC Int,Densidad Aire Int,Muestras Vent,Tx Vent,Recepción ISS,Intervalo Arc
24/09/26,1:00,9.7,11.0,9.7,82,6.7,0.0,---,0.0,0.0,---,9.7,9.7,9.7,955.0,0.0,0.0,0.361,0.0,19.4,46,7.5,18.4,8.65,0.0702,1378,1,100.0,60
24/09/26,2:00,8.6,9.7,8.6,83,5.9,0.0,ESE,0.0,1.6,ESE,8.6,8.6,8.6,955.0,0.0,0.0,0.405,0.0,18.9,46,7.1,17.9,8.65,0.0704,1386,1,100.0,60
24/09/26,3:00,8.5,8.6,8.1,85,6.1,0.0,ESE,0.0,1.6,ESE,8.5,8.5,8.5,955.0,0.0,0.0,0.41,0.0,18.1,47,6.6,17.0,8.86,0.0706,1381,1,100.0,60
24/09/26,4:00,7.3,8.5,7.3,87,5.3,0.0,NE,0.0,3.2,NE,7.3,7.3,7.3,955.0,0.0,0.0,0.461,0.0,17.8,48,6.6,16.7,8.99,0.0707,1383,1,100.0,60
24/09/26,5:00,6.3,7.3,6.3,89,4.6,0.0,NE,0.0,3.2,NE,6.3,6.3,6.3,955.0,0.0,0.0,0.502,0.0,16.8,48,5.7,15.7,9.06,0.071,1376,1,100.0,60
24/09/26,6:00,5.2,6.3,5.2,92,4.0,0.0,NE,0.0,1.6,NE,5.2,5.2,5.2,955.0,0.0,0.0,0.549,0.0,16.3,49,5.5,15.1,9.3,0.0711,1381,1,100.0,60
24/09/26,7:00,5.6,5.6,5.1,93,4.5,0.0,---,0.0,0.0,---,5.6,5.6,5.6,955.0,0.0,0.0,0.532,0.0,15.6,51,5.5,14.6,9.65,0.0713,1376,1,100.0,60
24/09/26,8:00,7.2,7.2,5.6,91,5.8,0.0,NE,0.0,3.2,NE,7.2,7.2,7.2,955.0,0.0,0.0,0.465,0.0,16.7,50,6.2,15.6,9.41,0.071,1382,1,100.0,60
24/09/26,9:00,12.7,12.7,7.2,76,8.5,0.0,---,0.0,0.0,---,12.7,12.4,12.4,955.0,0.0,0.0,0.236,0.0,18.1,51,7.8,17.1,9.56,0.0706,1381,1,100.0,60
24/09/26,10:00,19.7,19.7,12.7,52,9.5,0.0,---,0.0,0.0,---,19.7,18.9,18.9,955.0,0.0,0.0,0.0,0.056,19.8,50,9.1,19.0,9.3,0.0701,1388,1,100.0,60
24/09/26,11:00,22.6,22.6,19.7,48,11.0,0.0,---,0.0,0.0,---,22.6,22.2,22.2,955.0,0.0,0.0,0.0,0.178,21.4,48,9.9,20.4,8.86,0.0696,1387,1,100.0,60
