0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
23/09/26,13:24,23.3,23.3,23.2,37,7.8,0.0,ENE,0.00,1.6,ENE,23.3,22.5,22.5,955.0,0.00,1.2,0.000,0.003,21.4,46,9.3,20.4,8.64,.0697,15,1,65.2,1
23/09/26,13:25,23.3,23.3,23.3,40,8.9,1.6,ENE,0.03,11.3,SE,23.3,22.6,22.6,955.0,0.00,1.0,0.000,0.003,21.5,46,9.4,20.5,8.64,.0697,23,1,100.0,1
23/09/26,13:26,23.3,23.3,23.3,40,9.0,0.0,E,0.00,1.6,E,23.3,22.7,22.7,955.0,0.00,1.0,0.000,0.003,21.5,46,9.4,20.5,8.64,.0697,24,1,100.0,1
23/09/26,13:27,23.4,23.4,23.4,39,8.7,0.0,---,0.00,0.0,---,23.4,22.8,22.8,955.0,0.00,0.8,0.000,0.004,21.6,46,9.4,20.6,8.63,.0696,23,1,100.0,1
23/09/26,13:28,23.6,23.6,23.5,38,8.5,0.0,---,0.00,0.0,---,23.6,22.9,22.9,955.0,0.00,0.8,0.000,0.004,21.6,46,9.4,20.6,8.63,.0696,24,1,100.0,1
23/09/26,13:29,23.7,23.7,23.6,38,8.5,0.0,---,0.00,0.0,---,23.7,22.9,22.9,955.0,0.00,0.8,0.000,0.004,21.6,46,9.4,20.6,8.63,.0696,23,1,100.0,1
23/09/26,13:30,23.8,23.8,23.7,37,8.2,0.0,---,0.00,0.0,---,23.8,23.1,23.1,955.0,0.00,0.8,0.000,0.004,21.6,46,9.4,20.6,8.63,.0696,23,1,100.0,1
23/09/26,13:31,23.9,23.9,23.8,38,8.7,0.0,SSE,0.00,4.8,SSE,23.9,23.2,23.2,955.0,0.00,0.0,0.000,0.004,21.6,45,9.1,20.5,8.45,.0697,24,1,100.0,1
23/09/26,13:32,23.9,23.9,23.9,37,8.4,4.8,ENE,0.08,11.3,ENE,23.9,23.2,23.2,955.0,0.00,0.0,0.000,0.004,21.6,45,9.1,20.5,8.45,.0697,23,1,100.0,1
23/09/26,13:33,24.0,24.0,23.9,37,8.4,4.8,ENE,0.08,9.7,ENE,24.0,23.3,23.3,955.0,0.00,0.0,0.000,0.004,21.6,45,9.2,20.6,8.45,.0696,24,1,100.0,1
23/09/26,13:34,24.1,24.1,24.0,37,8.5,3.2,SSE,0.05,6.4,SSE,24.1,23.3,23.3,955.0,0.00,0.0,0.000,0.004,21.6,45,9.2,20.6,8.45,.0696,23,1,100.0,1
23/09/26,13:35,24.1,24.1,24.1,35,7.7,1.6,ENE,0.03,6.4,ENE,24.1,23.3,23.3,955.0,0.00,0.0,0.000,0.004,21.6,46,9.5,20.7,8.63,.0696,23,1,100.0,1
23/09/26,13:36,24.2,24.2,24.1,37,8.6,0.0,ENE,0.00,1.6,ENE,24.2,23.4,23.4,955.0,0.00,0.0,0.000,0.004,21.7,46,9.5,20.7,8.63,.0696,24,1,100.0,1
23/09/26,13:37,24.3,24.3,24.2,37,8.7,0.0,ENE,0.00,1.6,ENE,24.3,23.6,23.6,955.0,0.00,0.0,0.000,0.004,21.7,45,9.2,20.7,8.45,.0696,23,1,100.0,1
23/09/26,13:38,24.3,24.3,24.3,37,8.7,0.0,NE,0.00,1.6,NE,24.3,23.6,23.6,955.0,0.00,0.0,0.000,0.004,21.7,45,9.2,20.7,8.45,.0696,24,1,100.0,1
23/09/26,13:39,24.4,24.4,24.3,38,9.2,3.2,ENE,0.05,9.7,ENE,24.4,23.8,23.8,955.0,0.00,0.0,0.000,0.004,21.7,45,9.3,20.7,8.45,.0696,23,1,100.0,1
23/09/26,13:40,24.5,24.5,24.4,36,8.4,4.8,ESE,0.08,9.7,ENE,24.5,23.8,23.8,955.0,0.00,0.0,0.000,0.004,21.7,45,9.3,20.7,8.45,.0696,24,1,100.0,1
